"";"";"";"";"*mujica78";""
"1";"*mujica78";"0.142156574539925";"-0.237492594381064";"0.823460513911962";"81"
"2";"*mujica81";"0.504104872182009";"-0.171174306581548";"0.819342785335083";"85"
"3";"*mujica88";"0.0817586641667734";"-0.0552152107154237";"0.81424643753518";"89"
"4";"*mujica22";"0.258797229695302";"0.26489628375792";"0.814178686973586";"90"
"5";"*mujica80";"-0.12520074234438";"-0.0345543692558191";"0.807569243298084";"93"
"6";"*mujica33";"-0.120761969434842";"-0.211298041025394";"0.806138953664433";"94"
"7";"*mujica46";"0.186650330906192";"-0.0575059910708283";"0.805845367897526";"95"
"8";"*mujica69";"0.0451882615875728";"0.201907658494087";"0.804667260909808";"96"
"9";"*mujica59";"-0.0758357363191045";"0.133563009251082";"0.803093942312792";"97"
"10";"*mujica12";"0.0190144483288099";"-0.0120462295406625";"0.800538240572663";"99"
"11";"*ano0000";"0.0150090744235935";"0.008251251419157";"0.8";"100"
