"";"";"";"";"conservador";""
"1";"conservador";"1.31233944053081";"-1.52796813347483";"0.857015874318177";"236"
"2";"derrota";"1.89038233359823";"1.58795172747165";"0.856253765745624";"241"
"3";"tecnología";"1.30544417010914";"-1.19459612235852";"0.855972988903104";"242"
"4";"materia";"1.22826801917801";"-1.38372386243221";"0.853197183913105";"269"
"5";"revolución";"1.15772199254842";"-1.03940054159733";"0.851508135719823";"277"
"6";"existencia";"1.88054315886887";"1.17540796098815";"0.850912111663492";"281"
"7";"construcción";"1.25740678887951";"-1.18913923351206";"0.849204261449505";"297"
"8";"conversar";"-1.38879432155715";"1.35890334900874";"0.848804405142524";"300"
"9";"herramienta";"1.62058387942946";"-1.06282357984608";"0.848414576579918";"303"
"10";"ganancia";"1.30840376388598";"-1.2809161889913";"0.848256639606001";"304"
